fid,mode,region,agency,name,year_open,cost_usd,riders,status,notes,web,grade,construct,automated,year_clos,ffga_date,ffga_cost,ffga_shr,reference,limited,country,brt_rating,project,route_km,brt_year,through
"2",Light Rail,Guadalajara MEX,SITEUR,Tren Ligero Line 2,"1994",,,existing,,,subway,,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",MEX,,Tren Ligero Line 2,8.63943251029075,,"0"
"3",Metro,Mexico MEX,Mexico City Metro,Linea 9,"1987",,,existing,,,"subway; elevated",,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",MEX,,Linea 9 Centro Médico–Pantitlán,11.0287440532635,,"0"
"4",Metro,Mexico MEX,Mexico City Metro,Linea 4,"1981",,,existing,,,"elevated; at grade",,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",MEX,,Linea 4 Martín Carrera–Candelaria,7.2748809592293,,"0"
"5",Metro,Mexico MEX,Mexico City Metro,Linea 6,"1986",,,existing,,,subway,,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",MEX,,Linea 6 Instituto del Petróleo–Martín Carrera,4.32684164516467,,"0"
"6",Metro,Mexico MEX,Mexico City Metro,Linea 7,"1985",,,existing,,,subway,,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",MEX,,Linea 7 Auditorio–Barranca del Muerto,7.13295815394975,,"0"
"9",Metro,Mexico MEX,Mexico City Metro,Linea 1,"1972",,,existing,,,subway,,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",MEX,,Linea 1 Tacubaya–Observatorio,1.41904429930499,,"0"
"11",Metro,Mexico MEX,Mexico City Metro,Linea A,"1991",,,existing,,,"subway; at grade",,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",MEX,,Linea A,15.5141693705947,,"0"
"12",Metro,Mexico MEX,Mexico City Metro,Linea 2,"1984",,,existing,,,"subway; at grade",,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",MEX,,Linea 2 Tacuba–Cuatro Caminos,3.38840900047922,,"0"
"15",Metro,Mexico MEX,Mexico City Metro,Linea 8,"1994",,,existing,,,"subway; at grade",,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",MEX,,Linea 8,11.7747514934971,,"0"
"16",Metro,Mexico MEX,Mexico City Metro,Linea 12,"2012",,,existing,,,"subway; elevated; at grade",,,,,,,"Yonah Freemark; OpenStreetMap contributors","0",MEX,,Linea 12,24.3740024045224,,"0"
