fid,line,mode,name,region,year_open,status,notes,grade,year_clos,reference,limited,country,name_local
"1","2",Metro,Allende,Mexico MEX,"1970",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",MEX,
"2",Red Line,Metro,Medical Center/Naval,Washington DC USA,"1984",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"3",Red Line,Metro,Union Station,Washington DC USA,"1976",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"4",Red Line,Metro,Judiciary Square,Washington DC USA,"1976",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"5",Red/Green/Yellow Lines,Metro,Gallery Place-Chinatown,Washington DC USA,"1976",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"6",Red/Blue/Orange/Silver Lines,Metro,Metro Center,Washington DC USA,"1976",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"7",Red Line,Metro,Farragut North,Washington DC USA,"1976",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"8",Red Line,Metro,Dupont Circle,Washington DC USA,"1977",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"9",Red Line,Metro,Woodley Park-Zoo,Washington DC USA,"1981",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"10",Red Line,Metro,Cleveland Park,Washington DC USA,"1981",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"11",Red Line,Metro,Van Ness-UDC,Washington DC USA,"1981",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"12",Red Line,Metro,Tenleytown-AU,Washington DC USA,"1984",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"13",Red Line,Metro,Friendship Heights,Washington DC USA,"1984",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"14",Red Line,Metro,Bethesda,Washington DC USA,"1984",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"15",Red Line,Metro,Grosvenor,Washington DC USA,"1984",existing,,open cut,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"16",Red Line,Metro,White Flint,Washington DC USA,"1984",existing,,open cut,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"17",Red Line,Metro,Twinbrook,Washington DC USA,"1984",existing,,at grade,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"18",MARC Brunswick Line,Commuter Rail,Rockville,Washington DC USA,"1873",existing,MARC service began in 1984.,at grade,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"19",Red Line,Metro,Shady Grove,Washington DC USA,"1984",existing,,at grade,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"20",Red Line,Metro,Glenmont,Washington DC USA,"1998",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"21",Red Line,Metro,Wheaton,Washington DC USA,"1990",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"22",Red Line,Metro,Forest Glen,Washington DC USA,"1990",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"23",Red Line,Metro,Silver Spring,Washington DC USA,"1978",existing,,elevated,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"24",Red Line,Metro,Takoma,Washington DC USA,"1978",existing,,elevated,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"25",Red/Green/Yellow Lines,Metro,Fort Totten,Washington DC USA,"1978",existing,,subway,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"26",Red Line,Metro,Brookland-CUA,Washington DC USA,"1978",existing,,open cut,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"27",Red Line,Metro,Rhode Island Ave-Brentwood,Washington DC USA,"1976",existing,,elevated,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
"28",Red Line,Metro,NoMa-Galludet-New York Ave,Washington DC USA,"2004",existing,,elevated,,"Yonah Freemark; OpenStreetMap contributors","0",USA,
