cbdname,region_all,WRLURI_metro2,Tot_FrcDev50_01,Tot_FrcUnavail50_01,numtracts,region_gamma101a_units_IV,region_gamma201a_units_IV,region_gamma101a_space_IV,region_gamma201a_space_IV
Abilene,40,0.10083066672086716,0.011947336606681347,0.024700528010725975,42,0.7105403542518616,0.7267751693725586,0.7882310748100281,0.8006272315979004
Akron,80,-0.01093271654099226,0.09665247797966003,0.07218305766582489,199,0.4088113605976105,0.4504411816596985,0.4656967520713806,0.5004701614379883
Albany,120,-0.4981067478656769,0.013998906128108501,0.14139269292354584,35,0.7863600254058838,0.7989233732223511,0.864651620388031,0.8752079606056213
Albany,160,-0.16071860492229462,0.03780004009604454,0.37951943278312683,208,0.40404465794563293,0.4588817059993744,0.4665082097053528,0.5087888240814209
Albuquerque,200,0.349215030670166,0.02285054326057434,0.1303156465291977,195,0.48381173610687256,0.531585693359375,0.5302984714508057,0.5737483501434326
Alexandria,220,-1.6766891479492188,0.013742049224674702,0.19521792232990265,34,0.7222452759742737,0.7369956970214844,0.7901560664176941,0.8030715584754944
Allentown,240,-0.01547421794384718,0.055202096700668335,0.29728707671165466,133,0.2783975303173065,0.34690767526626587,0.3446306884288788,0.39802682399749756
Altoona,280,0.3540635108947754,0.016776420176029205,0.5248425602912903,34,0.29043707251548767,0.3452513813972473,0.3570866584777832,0.40124547481536865
Amarillo,320,-0.3986941874027252,0.012793270871043205,0.03054216131567955,59,0.537666916847229,0.560327410697937,0.624428391456604,0.6426344513893127
Anderson,400,-1.2100285291671753,0.04378776624798775,0.011072536930441856,36,0.649167537689209,0.6808925271034241,0.7355470657348633,0.7608294486999512
Anderson,405,0,0.035414375364780426,0.14732703566551208,34,0.5344577431678772,0.5438185930252075,0.5807366371154785,0.5869179964065552
Anniston,450,-1.0729578733444214,0.018438881263136864,0.34696754813194275,47,0.5866075158119202,0.6198205947875977,0.628821074962616,0.6505780220031738
Appleton,460,-0.1525454819202423,0.03707952797412872,0.21056437492370605,80,0.4780692756175995,0.5271530747413635,0.5918080806732178,0.6276112198829651
Asheville,480,-0.6693570613861084,0.01859482377767563,0.6923359632492065,59,0.5427960753440857,0.5646511912345886,0.5844616293907166,0.5996466279029846
Athens,500,0,0.023645922541618347,0.10408519953489304,35,0.5185512900352478,0.5297601222991943,0.5552825927734375,0.5640439391136169
Atlanta,520,0.0764625072479248,0.12250886857509613,0.12692536413669586,602,0.42796143889427185,0.4484119117259979,0.4719927906990051,0.4883687198162079
Atlantic City,34001,1.1505322456359863,0.02085978351533413,0.18707701563835144,218,0.519745409488678,0.5889549851417542,0.6400635838508606,0.6929022073745728
Augusta,600,-0.7329314947128296,0.02595696412026882,0.13528358936309814,79,0.5289546251296997,0.5425804853439331,0.5702477693557739,0.5816136002540588
Austin,640,-0.15499719977378845,0.043196458369493484,0.10505598038434982,243,0.4260452389717102,0.457097589969635,0.4760429263114929,0.5019032955169678
Bakersfield,680,0.4303559958934784,0.02781342901289463,0.07399816066026688,140,0.40393009781837463,0.46553003787994385,0.5011703968048096,0.5525373816490173
Baldwin,3600,-0.30046725273132324,0.043351221829652786,0.2605225145816803,201,0.6788640022277832,0.6965094804763794,0.7703694701194763,0.7835527658462524
Baltimore,720,1.8189414739608765,0.08549610525369644,0.14340287446975708,615,0.28928855061531067,0.3542594909667969,0.3596658408641815,0.4114217460155487
Bangor,730,0.6014984846115112,0.014039496891200542,0.2970160245895386,24,0.42806297540664673,0.4744024872779846,0.4890937805175781,0.5287677049636841
Baton Rouge,760,-1.2075979709625244,0.035426001995801926,0.40151074528694153,106,0.6615481972694397,0.6813843250274658,0.7555548548698425,0.7717242240905762
Battle Creek,780,0.2717585265636444,0.029535343870520592,0.15860439836978912,40,0.5714660882949829,0.6067487001419067,0.6298174858093262,0.6613827347755432
Beaumont,840,-0.5993521809577942,0.03443953022360802,0.3602089583873749,101,0.5722342133522034,0.6070290803909302,0.6865079998970032,0.7123139500617981
Belliingham,860,0,0.01905112713575363,0.15095645189285278,27,0.566145658493042,0.6213451623916626,0.6080155968666077,0.6560927033424377
Benton Harbor,870,-0.35663172602653503,0.022242026403546333,0.07672596722841263,48,0.5208842754364014,0.5537673234939575,0.6017009019851685,0.6252674460411072
Berry Hill,5360,-0.41783982515335083,0.04291222244501114,0.27083101868629456,226,0.4774395525455475,0.4960750937461853,0.5284445285797119,0.5429860353469849
Bibb City,1800,-1.1368556022644043,0.021085666492581367,0.10450247675180435,89,0.3946003019809723,0.4413689076900482,0.45447689294815063,0.4859195053577423
Billings,880,-0.19342540204524994,0.00957396999001503,0.15981857478618622,27,0.3260883390903473,0.36856433749198914,0.4039013087749481,0.43846994638442993
Biloxi,920,-1.0908113718032837,0.017544198781251907,0.23506474494934082,79,0.6460133790969849,0.6633749604225159,0.7453191876411438,0.7571099400520325
Binghamton,960,-0.8055540919303894,0.011428491212427616,0.5895077586174011,65,0.45240601897239685,0.4996316730976105,0.5007371306419373,0.5364218950271606
Birmingham,1000,-0.097586989402771,0.03894967958331108,0.3975955545902252,179,0.4265638291835785,0.44695502519607544,0.4750460088253021,0.49127787351608276
Bismarck,1010,-0.3328857123851776,0.006952797062695026,0.11385104805231094,21,0.5109089612960815,0.554956316947937,0.5566089749336243,0.5941842198371887
Bloomington,1020,0,0.010859418660402298,0.2827429473400116,29,0.45591598749160767,0.4754940867424011,0.5040673613548279,0.5203078389167786
Bloomington,1040,-0.20483499765396118,0.02671876549720764,0.010932499542832375,41,0.45448917150497437,0.49962761998176575,0.5348571538925171,0.5766969323158264
Boise City,1080,-0.0010928575647994876,0.015484172850847244,0.25564050674438477,50,0.6221359372138977,0.6337990760803223,0.6913073062896729,0.7018290162086487
Boston,1120,1.8042722940444946,0.13833975791931152,0.1687743216753006,900,0.05136323720216751,0.1313420534133911,0.1601467728614807,0.2214939296245575
Bridgeport,9001,0.4112560749053955,0.10030648857355118,0.19240562617778778,175,-0.0010440114419907331,0.091090127825737,0.12727707624435425,0.18869245052337646
Bristol,9002,0.08388283848762512,0.07977849990129471,0.34066689014434814,262,0.2265651524066925,0.3024684488773346,0.30565330386161804,0.3619439899921417
Brockton,1200,2.8119819164276123,0.13471703231334686,0.16154174506664276,66,0.40497133135795593,0.4510534703731537,0.4769962430000305,0.514904260635376
Brownsville,1240,-1.0260666608810425,0.018078148365020752,0.05574042722582817,86,0.47890645265579224,0.5342592597007751,0.61537933349609375,0.6539592146873474
Bryan,1260,0.3756938874721527,0.01378523837774992,0.0695430263876915,30,0.44618162512779236,0.4693118929862976,0.5357431769371033,0.5561342835426331
Buffalo,1280,-0.2056930661201477,0.03796717897057533,0.10960544645786285,302,0.44042831659317017,0.4797627031803131,0.5450528264045715,0.5760444402694702
Burlington,1300,-0.6239683628082275,0.038023218512535095,0.05353168398141861,148,0.2299220710992813,0.3083930015563965,0.32682445645332336,0.3797476589679718
"Burlington,VT",1305,1.2898005247116089,0.01632564328610897,0.5835429430007935,31,0.39507174491882324,0.4490409791469574,0.4564102292060852,0.503243088722229
Canton,1320,-0.7246537208557129,0.057939060032367706,0.22396299242973328,87,0.419026255607605,0.45522812008857727,0.476703941822052,0.5041860342025757
Casper,1350,-0.8195934295654297,0.002682208549231291,0.2689841091632843,17,0.4491131007671356,0.4804171025753021,0.4925227165222168,0.5184553265571594
Castleton,3480,-0.6934570670127869,0.06851667165756226,0.030584411695599556,304,0.5156533122062683,0.536679744720459,0.6135352253913879,0.6300472021102905
Cedar Rapids,1360,-0.6649553775787354,0.024304674938321114,0.07470722496509552,43,0.43201160430908203,0.4628232419490814,0.48327916860580444,0.5087635517120361
Champaign,1400,-0.3913686275482178,0.02319023758172989,0.00693127978593111,41,0.5611302852630615,0.6015977263450623,0.6657319664955139,0.6987195611000061
Charleston,1440,-0.7721279859542847,0.018575891852378845,0.2392423003911972,117,0.7185463309288025,0.7368412017822266,0.8078603744506836,0.8224893808364868
Charleston,1480,-1.1518689393997192,0.01767280325293541,0.6441272497177124,61,0.3961472809314728,0.4497504234313965,0.4582652151584625,0.49852633476257324
Charlotte,1520,-0.4211914539337158,0.06374454498291016,0.0634496733546257,305,0.44139477610588074,0.46237844228744507,0.4921450614929199,0.5077349543571472
Charlottesville,1540,-0.9799600839614868,0.015596559271216393,0.28869184851646423,29,0.4610976576805115,0.48570799827575684,0.5018489360809326,0.5224587917327881
Chattanooga,1560,-0.7203027606010437,0.03240179643034935,0.39955854415893555,93,0.5294835567474365,0.546477198600769,0.5719584822654724,0.5856651067733765
"Cheyenne,WY",1580,0,0.007413920015096664,0.11053961515426636,18,0.4712752103805542,0.4954690635204315,0.525101363658905,0.544745147228241
Chicago,1600,0.006461304146796465,0.20510978996753693,0.03178786858916283,1880,0.2621195316314697,0.2905510365962982,0.389031320810318,0.411224365234375
"Chico,CA",1620,0.9309685230255127,0.012490198947489262,0.27253320813179016,42,0.5538069009780884,0.586764931678772,0.6349433660507202,0.6607568860054016
Cincinnati,1640,-0.5385129451751709,0.06476899236440659,0.2945716679096222,463,0.34146848320961,0.38750922679901123,0.40819185972213745,0.4441941976547241
Clarksville,1660,0,0.013876269571483135,0.25953441858291626,28,0.627227246761322,0.6379795670509338,0.6576344966888428,0.6664139032363892
Cleveland,1680,-0.18157745897769928,0.08542648702859879,0.04425195977091789,694,0.38436245918273926,0.4075494110584259,0.46969074010849,0.49123361706733704
Colorado Springs,1720,0.9214591979980469,0.01900331676006317,0.31011149287223816,117,0.37481144070625305,0.4012754559516907,0.421159952878952,0.44343966245651245
Columbia,1740,-1.6012475490570068,0.01637057587504387,0.1586064249277115,31,0.5455189943313599,0.572249174118042,0.5826704502105713,0.6055551767349243
Columbia,1760,-0.7293436527252197,0.031163128092885017,0.19118143618106842,150,0.5283121466636658,0.5475338101387024,0.5661870241165161,0.5834523439407349
Columbus,1840,0.2751924991607666,0.06277205795049667,0.029307890683412552,379,0.42418983578681946,0.46606072783470154,0.5167493224143982,0.5517315864562988
Corpus Christi,1880,-0.2050543576478958,0.02607293613255024,0.12028389424085617,78,0.48097217082977295,0.515255331993103,0.595285952091217,0.6232096552848816
Cumberland,1900,0,0.011309883557260036,0.6432563662528992,30,0.5481101274490356,0.5907407402992249,0.5848784446716309,0.6182025671005249
Dallas,1920,-0.25099143385887146,0.17015981674194336,0.06831516325473785,1016,0.29281124472618103,0.34264710545539856,0.37938910722732544,0.42016059160232544
Danbury,9003,0.6820104122161865,0.07649321854114532,0.3800385296344757,75,0.46201616525650024,0.49030739068984985,0.5127473473548889,0.5343132019042969
Danville,1950,0,0.01618821732699871,0.125713512301445,28,0.5738271474838257,0.5934677720069885,0.6031259298324585,0.6179910898208618
"Danville,IL",1940,-0.6655962467193604,0.016721343621611595,0.014727970585227013,25,0.7147712111473083,0.7329791188240051,0.7683981657028198,0.7840400338172913
Davenport,1960,-0.8972361087799072,0.030698148533701897,0.07498222589492798,99,0.4210270047187805,0.4658752679824829,0.4811803698539734,0.5170885920524597
Dayton,2000,-0.5119605660438538,0.05794931575655937,0.015244058333337307,281,0.5082172751426697,0.5430173873901367,0.576206624507904,0.6079801917076111
Daytona Beach,2020,0.7841231226921082,0.022369224578142166,0.23926225304603577,78,0.5740628838539124,0.5964239835739136,0.6831461191177368,0.7003291845321655
Decatur,2040,-0.9764728546142578,0.023202501237392426,0.016896888613700867,36,0.46672970056533813,0.49033021926879883,0.5473737120628357,0.5703765749931335
"Decatur,AL",2030,-0.9929224848747253,0.027200574055314064,0.22434425354003906,38,0.600536048412323,0.6168620586395264,0.6772857904434204,0.6899749040603638
Denver,2080,0.9676144123077393,0.08073122054338455,0.3245110809803009,624,0.32823535799980164,0.36062270402908325,0.38850319385528564,0.4153669774532318
Des Moines,2120,-0.8767498731613159,0.029607445001602173,0.07234485447406769,104,0.4567236006259918,0.48082810640335083,0.5082283616065979,0.5293740034103394
Detroit,2160,0.06268098205327988,0.16647106409072876,0.044652264565229416,1399,0.3052644431591034,0.3373132646083832,0.42918112874031067,0.4540513753890991
"Dothan,AL",2180,-1.260121464729309,0.014227527193725109,0.10534056276082993,41,0.5975950956344604,0.6111368536949158,0.6361300945281982,0.6464210748672485
"Dover-Rochester,NH",6450,1.4054032564163208,0.031797245144844055,0.2121707648038864,98,0.46428072452545166,0.5169903635978699,0.5476831793785095,0.5830273032188416
Dubuque,2200,-0.9049379229545593,0.012959485873579979,0.34231576323509216,40,0.5221630930900574,0.5525035858154297,0.5644251704216003,0.5880551338195801
Duluth,2240,-0.3814164102077484,0.01096596010029316,0.3273489475250244,83,0.5003743767738342,0.5733877420425415,0.5682830214500427,0.6268048286437988
Eau Claire,2290,0,0.013295886106789112,0.23256446421146393,32,0.5630530714988708,0.5824459791183472,0.6066640019416809,0.6236676573753357
El Paso,2320,0.7396665811538696,0.0236757043749094,0.04526196047663689,126,0.3112712800502777,0.37362661957740784,0.400992214679718,0.4588354825973511
Elkhart,7800,-1.2084280252456665,0.04355892166495323,0.10024192184209824,109,0.5115136504173279,0.5691279172897339,0.6128771305084229,0.6583186388015747
Elmira,2335,-0.769753634929657,0.0109249297529459,0.5693877339363098,23,0.570774257183075,0.5825600624084473,0.6339353919029236,0.6419165730476379
Enid,2340,-0.4696325659751892,0.010045998729765415,0.015003165230154991,11,0.6620394587516785,0.6779450178146362,0.7462326288223267,0.7587172985076904
Erie,2360,-0.7341532111167908,0.013896266929805279,0.05842909216880798,72,0.31367769837379456,0.36068373918533325,0.37729763984680176,0.4156690239906311
Eugene,2400,0.3431185185909271,0.01883954554796219,0.5565673112869263,78,0.4708154797554016,0.5124971270561218,0.5456266403198242,0.5778030157089233
Evansville,2440,-1.1978864669799805,0.019878288730978966,0.07151545584201813,69,0.5612988471984863,0.5861467123031616,0.6166477203369141,0.6368251442909241
Fargo,2520,-1.270755648612976,0.0136714493855834,0.044185295701026917,40,0.6296454071998596,0.6548436880111694,0.7197892665863037,0.7398676872253418
Fayetteville,2560,-0.4595660865306854,0.024628331884741783,0.21993418037891388,65,0.5782856345176697,0.5950487852096558,0.6285513043403625,0.6443203091621399
Fayetteville,2580,-0.4120241403579712,0.016734939068555832,0.46737098693847656,60,0.5221526026725769,0.5399796366691589,0.5835490226745605,0.5958632826805115
Fitchburg,2600,2.1944236755371094,0.074577435851097107,0.2945847511291504,50,0.33386537432670593,0.4033930003643036,0.40095484256744385,0.4538140892982483
Flint,2640,-0.3321203589439392,0.05032029002904892,0.12713053822517395,131,0.5371890068054199,0.5657880902290344,0.6364418864250183,0.6615381836891174
Florence,2650,0,0.013354632072150707,0.3177019953727722,31,0.5902666449546814,0.6022008061408997,0.6331502199172974,0.6441112756729126
Florence,2655,-0.42798590660095215,0.015111549757421017,0.36963212490081787,29,0.8153188228607178,0.8293665647506714,0.8926939964294434,0.9033387899398804
Fort Collins,3060,0.8217009902000427,0.01898275688290596,0.16320201754570007,93,0.4975033700466156,0.5397807359695435,0.5783883333206177,0.6112863421440125
Fort Lauderdale,2680,0.7197670340538025,0.09479576349258423,0.3171945810317993,279,0.40734297037124634,0.42233866453170776,0.5320841073989868,0.5433473587036133
Fort Myers,2700,-0.1493862122297287,0.04378781095147133,0.2625955045223236,117,0.5356705188751221,0.5564934015274048,0.6534711122512817,0.6677306890487671
Fort Smith,2720,-1.0239571332931519,0.015265247784554958,0.3007796108722687,40,0.5891007781028748,0.608617901802063,0.6333610415458679,0.6500218510627747
Fort Wayne,2760,-0.8385852575302124,0.028948526829481125,0.028038958087563515,90,0.6139160990715027,0.6301738619804382,0.703665554523468,0.7181688547134399
"FortPierce,FL",2710,0,0.025208082050085068,0.22229821979999542,36,0.5356833934783936,0.5503168106079102,0.664617121219635,0.6740543842315674
"FortWaltonBeach,FL",2750,-0.03861510381102562,0.016570208594202995,0.08989089727401733,39,0.5860288143157959,0.5964961647987366,0.6670206189155579,0.6764103174209595
