state,neigh,AFFGEOID,AFFGEOID.a,AFFGEOID.b,n_obs,sum_pernum,mean_pernum,p_move,mean_inc,sd_inc,q1_inc,q2_inc,q3_inc,mean_inc_nwage,mean_i_white,mean_i_black,mean_i_native,mean_i_asian,mean_i_hispanic,p_ownership,mean_rent,sd_rent,q1_rent,q2_rent,q3_rent,mean_valueh,sd_valueh,q1_valueh,q2_valueh,q3_valueh
AL,muni,0500000US01001,,,2046,5577,2.7258064516129,0.697252747252747,272.829813664596,543.5724825031,0,0,338,0.163467492260062,0.609481915933529,0.390518084066471,0,0,1,0.3119804400978,16.3673174258858,149.918109346228,3,5,9,158370.523510972,1242880.50683985,150,900,2500
AL,muni,0500000US01003,,,1713,4682,2.73321657910099,0.6290212183436,779.083333333333,804.45363332061,154.5,600,1162.5,0.166783461807989,0.978984238178634,0.021015761821366,0,0,1,0.644914756025867,42.1144781144781,268.726953882213,8,12,16,111712.475843209,1040389.17246107,1000,2000,3000
AL,muni,0500000US01007,,,2485,7514,3.02374245472837,0.640342530922931,237.413576725613,446.677554191284,0,0,350,0.221970554926387,0.641046277665996,0.358953722334004,0,0,1,0.402024291497976,6.22971114167813,4.13845681751961,3,5,8,101576.972809668,998868.116131313,250,500,1000
AL,muni,0500000US01009,,,14,32,2.28571428571429,1,240,298.026844428484,0,30,440,0.454545454545455,1,0,0,0,1,0.3,8.28571428571429,2.1380899352994,6,10,10,300,0,300,300,300
AL,muni,0500000US01015,,,29419,88693,3.01482035419287,0.701173274983967,358.938796927921,620.634830253222,0,0,568.5,0.127896451846488,0.751181209422482,0.248750807301404,0,6.79832761140759e-05,1,0.287565481113868,21.5175776488371,126.445751346612,6,9,14,50504.5500958773,690592.720697065,850,1500,3000
AL,muni,0500000US01121,,,8230,23911,2.90534629404617,0.757875143184422,326.295705715188,573.089133353266,0,0,520,0.140538837245943,0.796962332928311,0.203037667071689,0,0,1,0.314204615574479,14.7969082125604,95.2039086344436,5,7,12,556242.844854674,2287084.9575649,500,2000,4500
AL,muni,0500000US01017,,,6892,20804,3.01857225769008,0.646628498727735,354.590872698159,459.584758340459,0,160,624,0.145585655817579,0.751886244921648,0.248113755078352,0,0,1,0.224039725427194,7.37192118226601,17.1795792081703,4,5,8,281719.599739244,1650921.8364413,400,1000,2000
AL,muni,0500000US01021,,,961,2695,2.80437044745057,0.554176072234763,180.429958391123,421.883627834243,0,0,104,0.701244813278008,0.887617065556712,0.112382934443288,0,0,1,0.50468262226847,7.28571428571429,6.44280796206826,4,6,10,22470.6350515464,453993.970796762,1000,1500,2500
AL,muni,0500000US01031,,,4908,14354,2.92461287693562,0.67163504968383,275.753661394259,520.43832351925,0,0,401.5,0.175281547790933,0.798084759576202,0.201915240423798,0,0,1,0.423390383048085,17.8300573300573,101.170014150076,4,6,12,107750.090471607,1023528.14409222,500,1800,3000
AL,muni,0500000US01033,,,15428,46767,3.03130671506352,0.708883596738111,417.53084719079,731.835319967545,0,48,520,0.144778126400717,0.729323308270677,0.270676691729323,0,0,1,0.340227035490605,14.6911705551086,87.0888114896024,5,8,15,218974.423202301,1455779.46897352,600,2000,3500
AL,muni,0500000US01037,,,153,479,3.13071895424837,0.725925925925926,655.24,647.397034914686,150,300,977.5,0.355769230769231,0.640522875816993,0.359477124183007,0,0,1,0.405228758169935,6.78021978021978,6.6680035289636,4,4,7.5,1775886.74193548,3850624.47477252,1500,2000,3500
AL,muni,0500000US01043,,,2934,8864,3.02113156100886,0.660230226513182,344.295140436915,605.31313569645,0,0,528,0.21954484605087,0.993524199045672,0.00647580095432856,0,0,1,0.441884816753927,15.02959697733,51.6262171210462,6,10,15,263560.848341232,1593483.28363801,1500,2500,4000
AL,muni,0500000US01045,,,2088,5961,2.85488505747126,0.689357104267963,288.777391304348,565.265013297866,0,100,309.5,0.219572368421053,0.653256704980843,0.346743295019157,0,0,1,0.386015325670498,16.3556254917388,127.960295445325,4,5,8,361495.672456576,1863236.79024381,400,1000,2000
AL,muni,0500000US01069,,,11589,34019,2.93545603589611,0.75869432580842,340.03699985659,607.28107388939,0,55,468,0.198729457257285,0.679955129864527,0.319958581413409,0,8.62887220640262e-05,1,0.370360712733594,12.0522430437252,27.7801268900954,5,8,15,265618.781976062,1599547.81236307,700,2000,4000
AL,muni,0500000US01047,,,14298,39990,2.7968946705833,0.758098538496309,351.93567652242,644.244497195587,0,52,416,0.146319241982507,0.48985872149951,0.51014127850049,0,0,1,0.262246621621622,21.7962048601026,168.397510476795,4,7,15,250061.359634997,1551542.02300401,1000,2500,4600
AL,muni,0500000US01051,,,3093,8583,2.77497575169738,0.520109332292074,374.324958123953,666.346150451405,0,0,600,0.226876814599751,0.792757840284514,0.207242159715487,0,0,1,0.366666666666667,16.6619198312236,105.422242576575,5,8,15,152735.583406884,1215906.43726385,1500,2500,4000
AL,muni,0500000US01055,,,27544,80799,2.93345193145513,0.717445011157157,459.476623819816,697.207934822385,0,130,750,0.113248457219103,0.805583793203602,0.194416206796398,0,0,1,0.281907126168224,46.4775395210518,284.494982702994,7,10,15,128130.513856514,1113511.98379454,900,2000,3500
AL,muni,0500000US01061,,,7583,23528,3.10272979032045,0.691408934707904,299.85440739518,517.064745195859,0,84,450,0.187797619047619,0.751285770803112,0.248714229196888,0,0,1,0.381373844121532,17.9544339291973,133.052992844101,4,6,10,2211287.43574645,4149124.33432751,600,2000,6000
