state_name,state_fips,state_abbr,state_region,state_div
Alabama,1,AL,S,6
Alaska,2,AK,W,9
Arizona,4,AZ,W,8
Arkansas,5,AR,S,7
California,6,CA,W,9
Colorado,8,CO,W,8
Connecticut,9,CT,NW,1
Delaware,10,DE,S,5
District of Columbia,11,DC,S,5
Florida,12,FL,S,5
Georgia,13,GA,S,5
Hawaii,15,HI,W,9
Idaho,16,ID,W,8
Illinois,17,IL,MW,3
Indiana,18,IN,MW,3
Iowa,19,IA,MW,4
Kansas,20,KS,MW,4
Kentucky,21,KY,S,6
Louisiana,22,LA,S,7
Maine,23,ME,NW,1
Maryland,24,MD,S,5
Massachusetts,25,MA,NW,1
Michigan,26,MI,MW,3
Minnesota,27,MN,MW,4
Mississippi,28,MS,S,6
Missouri,29,MO,MW,4
Montana,30,MT,W,8
Nebraska,31,NE,MW,4
Nevada,32,NV,W,8
New Hampshire,33,NH,NW,1
New Jersey,34,NJ,NW,2
New Mexico,35,NM,W,8
New York,36,NY,NW,2
North Carolina,37,NC,S,5
North Dakota,38,ND,MW,4
Ohio,39,OH,MW,3
Oklahoma,40,OK,S,7
Oregon,41,OR,W,9
Pennsylvania,42,PA,NW,2
Rhode Island,44,RI,NW,1
South Carolina,45,SC,S,5
South Dakota,46,SD,MW,4
Tennessee,47,TN,S,6
Texas,48,TX,S,7
Utah,49,UT,W,8
Vermont,50,VT,NW,1
Virginia,51,VA,S,5
Washington,53,WA,W,9
West Virginia,54,WV,S,5
Wisconsin,55,WI,MW,3
Wyoming,56,WY,W,8
