var,data,spec,coef,se
LOG_land_sqft,sales,1,0.588939380322231,0.0101460334051182
LOG_land_sqft,rental,1,0.515343202403552,0.0449902414318197
LOG_land_sqft,sales,2,0.566305484443058,0.0103165375663893
LOG_land_sqft,rental,2,0.51783065390383,0.0432256326134688
LOG_univ_bldg_sqft,sales,1,0.143273087149431,0.00472873944271116
LOG_univ_bldg_sqft,rental,1,0.137094513755245,0.0178566391795805
LOG_univ_bldg_sqft,sales,2,0.139794149595356,0.00465527991176763
LOG_univ_bldg_sqft,rental,2,0.131034759824645,0.0153105385608376
eff_age,sales,1,0.0196396250472381,0.206606530962389
eff_age,rental,1,1.57290923288156,0.626213506208874
eff_age,sales,2,0.266479631717305,0.191869279444555
eff_age,rental,2,1.65041214052852,0.552305402227716
bed_n,sales,1,0.176951014932847,0.00663611126672499
bed_n,rental,1,0.205816816601199,0.0308752066694723
bed_n,sales,2,0.177635850143547,0.00647347004232921
bed_n,rental,2,0.203031997785697,0.0291642341775507
calc_bath_n,sales,1,0.178552745166217,0.00920564898553524
calc_bath_n,rental,1,0.140803951502466,0.0367616956261531
calc_bath_n,sales,2,0.170139207819675,0.00898562147645075
calc_bath_n,rental,2,0.131188282769508,0.0349921038818249
