bord,var,data,spec,coef,se
01,LOG_PRICE,deed,11,0.149339256803183,0.00769791063770306
01,LOG_PRICE,mls,11,0.103837680171706,0.0168941560537042
01,i_white,hmda,11,0.028720629562691,0.00239768657300724
01,LOG_inc_clean,hmda,11,0.137993864821444,0.0056758756893181
01,LOG_PRICE,deed,12,0.0371825650500789,0.00439749254826764
01,LOG_PRICE,mls,12,0.0343174271484538,0.00819492440281234
01,i_white,hmda,12,0.0188851987103732,0.00247031955455098
01,LOG_inc_clean,hmda,12,0.0315784784399169,0.00344861607429869
01,LOG_PRICE,deed,21,0.151392088003163,0.0084555078914339
01,LOG_PRICE,mls,21,0.102354669537689,0.015153490010855
01,i_white,hmda,21,0.0273972526869916,0.00272032483831628
01,LOG_inc_clean,hmda,21,0.134336993736412,0.00615874691096072
01,LOG_PRICE,deed,22,0.0371825650500789,0.00439749254826764
01,LOG_PRICE,mls,22,0.0343174271484538,0.00819492440281234
01,i_white,hmda,22,0.0188851987103732,0.00247031955455098
01,LOG_inc_clean,hmda,22,0.0315784784399169,0.00344861607429869
02,LOG_PRICE,deed,11,0.179195852185289,0.0078218717652106
02,LOG_PRICE,mls,11,0.118942993744176,0.0210230220916346
02,i_white,hmda,11,0.0313304387500748,0.00249418210918243
02,LOG_inc_clean,hmda,11,0.158930805125484,0.00546887781313347
02,LOG_PRICE,deed,12,0.0411834972759425,0.00432243440346225
02,LOG_PRICE,mls,12,0.0273354550508593,0.010601468129277
02,i_white,hmda,12,0.0173788837097814,0.0025159387522995
02,LOG_inc_clean,hmda,12,0.0357750531450578,0.00302221730318206
02,LOG_PRICE,deed,21,0.171945826467163,0.00865142605496952
02,LOG_PRICE,mls,21,0.112378159168304,0.0194127362889664
02,i_white,hmda,21,0.0282623406386488,0.00284672781795858
02,LOG_inc_clean,hmda,21,0.150217123421645,0.00590618373062869
02,LOG_PRICE,deed,22,0.0411834972759425,0.00432243440346225
02,LOG_PRICE,mls,22,0.0273354550508593,0.010601468129277
02,i_white,hmda,22,0.0173788837097814,0.0025159387522995
02,LOG_inc_clean,hmda,22,0.0357750531450578,0.00302221730318206
03,LOG_PRICE,deed,11,0.195708416155297,0.00788934277162042
03,LOG_PRICE,mls,11,0.128083937097297,0.020253934683915
03,i_white,hmda,11,0.0356628054783689,0.00241974905532808
03,LOG_inc_clean,hmda,11,0.166418501847481,0.00573306500177732
03,LOG_PRICE,deed,12,0.0391907888723239,0.00430419402557883
03,LOG_PRICE,mls,12,0.0263037561058159,0.0121901122608606
03,i_white,hmda,12,0.018678421778091,0.00254381801222714
03,LOG_inc_clean,hmda,12,0.0305926797721038,0.00353414959984673
03,LOG_PRICE,deed,21,0.17460039928732,0.00889036425472363
03,LOG_PRICE,mls,21,0.112507614041045,0.0177998552377199
03,i_white,hmda,21,0.0306922602923901,0.00280822209038324
03,LOG_inc_clean,hmda,21,0.150156968395832,0.00644783754254544
03,LOG_PRICE,deed,22,0.0391907888723239,0.00430419402557883
03,LOG_PRICE,mls,22,0.0263037561058159,0.0121901122608606
03,i_white,hmda,22,0.018678421778091,0.00254381801222714
03,LOG_inc_clean,hmda,22,0.0305926797721038,0.00353414959984673
04,LOG_PRICE,deed,11,0.203431446716016,0.00797838956552622
04,LOG_PRICE,mls,11,0.11919257511334,0.0270401935163771
04,i_white,hmda,11,0.0365928209513362,0.00256802736421529
04,LOG_inc_clean,hmda,11,0.171736051151618,0.00632464131335947
04,LOG_PRICE,deed,12,0.0413508589108444,0.0046871125112866
04,LOG_PRICE,mls,12,0.0259024475870955,0.014339729314198
04,i_white,hmda,12,0.0193143186842976,0.00267812605836413
04,LOG_inc_clean,hmda,12,0.0286271425472695,0.00407826842557753
04,LOG_PRICE,deed,21,0.178747288041497,0.00901028171878571
04,LOG_PRICE,mls,21,0.0961310697541921,0.024738460652968
04,i_white,hmda,21,0.0295857037738506,0.00287669142316023
04,LOG_inc_clean,hmda,21,0.148110354715394,0.00720651402285189
04,LOG_PRICE,deed,22,0.0413508589108444,0.0046871125112866
04,LOG_PRICE,mls,22,0.0259024475870955,0.014339729314198
04,i_white,hmda,22,0.0193143186842976,0.00267812605836413
04,LOG_inc_clean,hmda,22,0.0286271425472695,0.00407826842557753
