y_var,x_var,data,spec,coef,se
LOG_PRICE,mla_est_all,deed,11,0.202556184570416,0.00695056730367806
LOG_PRICE,mla_est_post40,deed,11,0.186085235750587,0.00699007149422593
LOG_PRICE,mla_est_all,mls,11,0.124138380581527,0.0179057447039131
LOG_PRICE,mla_est_post40,mls,11,0.119325561272738,0.0177946861580349
i_white,mla_est_post40,hmda,11,0.0329208032288192,0.00208595981267467
i_white,mla_est_all,hmda,11,0.0341600021517575,0.00203577409366935
LOG_inc_clean,mla_est_post40,hmda,11,0.160698314064716,0.00500313721649043
LOG_inc_clean,mla_est_all,hmda,11,0.165571070588322,0.004778710439813
LOG_PRICE,mla_est_all,deed,12,0.051232691151977,0.00335771226412926
LOG_PRICE,mla_est_post40,deed,12,0.0415064061423029,0.00324514268655117
LOG_PRICE,mla_est_all,mls,12,0.0360982691174219,0.00780016779462357
LOG_PRICE,mla_est_post40,mls,12,0.0355631911841819,0.00766348252613123
i_white,mla_est_all,hmda,12,0.0217879355206332,0.00169293909141188
i_white,mla_est_post40,hmda,12,0.019948484454489,0.00172809225288777
LOG_PRICE,mla_est_post70,deed,11,0.15407133000763,0.00734648692836126
LOG_PRICE,mla_est_post70,mls,11,0.114788233365324,0.0177688906239612
LOG_inc_clean,mla_est_all,hmda,12,0.0366615333394957,0.00241905432097654
LOG_inc_clean,mla_est_post40,hmda,12,0.0344559994342112,0.00249913432049351
i_white,mla_est_post70,hmda,11,0.0310122666025125,0.00197253365490332
LOG_inc_clean,mla_est_post70,hmda,11,0.138257533027412,0.00503980353033815
LOG_PRICE,mla_est_post70,deed,12,0.0324683217265762,0.00307790621836041
LOG_PRICE,mla_est_post70,mls,12,0.0337521910368264,0.00776971739957457
i_white,mla_est_post70,hmda,12,0.0190808798160126,0.0016186459341298
LOG_inc_clean,mla_est_post70,hmda,12,0.0293681026066427,0.00226134581538981
LOG_PRICE,mla_est_all,deed,21,0.191457510079543,0.00657994825839012
LOG_PRICE,mla_est_post40,deed,21,0.177084806116845,0.00667960494184865
LOG_PRICE,mla_est_all,mls,21,0.11549783848361,0.0135194692092734
LOG_PRICE,mla_est_post40,mls,21,0.111041367811487,0.0139031888684378
i_white,mla_est_post40,hmda,21,0.0305962644531819,0.00201162398017018
i_white,mla_est_all,hmda,21,0.031379995036092,0.00194475827895429
LOG_PRICE,mla_est_post70,deed,21,0.147540105203221,0.00709808754734777
LOG_PRICE,mla_est_post70,mls,21,0.107751140645161,0.0137811690854883
LOG_inc_clean,mla_est_post40,hmda,21,0.154568332664935,0.00482174808082588
LOG_inc_clean,mla_est_all,hmda,21,0.15931210802503,0.00461302967425441
i_white,mla_est_post70,hmda,21,0.028806452830375,0.00191471711196952
LOG_inc_clean,mla_est_post70,hmda,21,0.133837547854187,0.00497163925292378
LOG_PRICE,mla_est_all,deed,22,0.0470739335439897,0.00310758366216684
LOG_PRICE,mla_est_post40,deed,22,0.039295954161967,0.00314510379655133
LOG_PRICE,mla_est_all,mls,22,0.031878015776581,0.00696464406848949
LOG_PRICE,mla_est_post40,mls,22,0.0314568032403395,0.00699678751612297
i_white,mla_est_all,hmda,22,0.0200386929124527,0.00163017018746952
i_white,mla_est_post40,hmda,22,0.0187688965742013,0.00170242283018363
LOG_inc_clean,mla_est_all,hmda,22,0.0348700459012896,0.00230819919133292
LOG_inc_clean,mla_est_post40,hmda,22,0.0329118449156596,0.00237378550969606
LOG_PRICE,mla_est_post70,deed,22,0.0309946394401062,0.00290853079422795
LOG_PRICE,mla_est_post70,mls,22,0.0303650743554344,0.00711998662637501
i_white,mla_est_post70,hmda,22,0.0178586366853792,0.00160332127217946
LOG_inc_clean,mla_est_post70,hmda,22,0.0284109517031959,0.00223217846904358
