cbdname,log_mla_metro,n_munis,n_districts,n_parcels,region,region_all,WRLURI,Tot_FrcDev50_01,FracUnavail,numtracts,elast_inner,region_gamma201a_units_IV,region_gamma101a_space_IV,region_gamma201a_space_IV,metro_pop,metro_units,metro_land_m2,n_cbg,station_pop,station_units,station_land_m2,n_station_cbg,metro_pop_density,metro_unit_density,station_pop_density,station_unit_density,log_numtracts,log_station_pop_density,log_station_unit_density,log_metro_pop_density,log_metro_unit_density,log_station_density_ratio
Boston,9.56533285740708,34,90,214544,Boston MA USA,1120,1.80427229404449,0.138339757919312,0.168774321675301,900,0.0513632372021675,0.131342053413391,0.160146772861481,0.221493929624558,3822578,1525890,9029114828,3416,546515,231017,111817075,559,0.000423361323099567,0.000168996632457048,0.00488758089942882,0.00206602614135632,6.80239476332431,-5.32105780149484,-6.18212825523971,-7.76728455180738,-8.68563176952939,2.44622675031255
Cincinnati,8.515813647936,1,5,49557,Cincinnati OH USA,1640,-0.538512945175171,0.0647689923644066,0.294571667909622,463,0.34146848320961,0.387509226799011,0.408191859722137,0.444194197654724,1656069,722994,10778999717,1548,32,17,15846550,1,0.000153638467713117,6.70743129216097e-05,2.01936699155337e-06,1.07278871426273e-06,6.13772705408623,-13.1127264661801,-13.7452490249236,-8.78090832776517,-9.60970940513987,-4.33181813841493
Detroit,9.36386626819566,1,6,19143,Detroit MI USA,2160,0.0626809820532799,0.166471064090729,0.0446522645652294,1399,0.305264443159103,0.337313264608383,0.429181128740311,0.454051375389099,3484609,1550690,10079403934,3696,7432,5251,25321859,8,0.00034571578069668,0.000153847391190385,0.000293501357858442,0.000207370240865807,7.24351297466548,-8.13362829227261,-8.48100475912843,-7.96989356354897,-8.77954941317857,-0.163734728723647
El Paso,8.63640402713631,1,7,142738,El Paso TX USA,2320,0.73966658115387,0.0236757043749094,0.0452619604766369,126,0.311271280050278,0.373626619577408,0.400992214679718,0.458835482597351,528029,194484,14461902958,516,99092,43114,69844200,114,3.65117233557363e-05,1.3448022750866e-05,0.00141875774939079,0.000617288192863545,4.83628190695148,-6.55797361462381,-7.3901745558111,-10.2178771611172,-11.2166784700936,3.65990354649339
Milwaukee,8.49895247593794,1,6,54078,Milwaukee WI USA,5080,0.514373540878296,0.0670923218131065,0.0693430677056313,498,0.313062757253647,0.361091464757919,0.405225038528442,0.444316953420639,1393827,599231,3768082371,1301,49950,24090,24233012,45,0.000369903537865096,0.000159028105280239,0.00206123778587656,0.000994098463699024,6.21060007702465,-6.18444860969854,-6.91367429816632,-7.90226829478908,-8.74642960859594,1.71781968509054
Minneapolis,9.10497985631836,1,1,12495,Minneapolis MN USA,5120,0.397417157888413,0.106484234333038,0.135271370410919,730,0.384901404380798,0.416433215141296,0.457660108804703,0.486824423074722,2299909,951774,19778352581,2370,364426,161401,175141290,380,0.000116284154131694,4.81220059204687e-05,0.00208075434410698,0.000921547397532586,6.59304453414244,-6.17502478558008,-6.98945634698171,-9.05947375766496,-9.94177098193135,2.88444897208488
New York,8.960288236945,1,5,22014,New York NY USA,5600,0.817138731479645,0.217914819717407,0.149715676903725,5232,0.0425232835114002,0.142659455537796,0.156318575143814,0.237358301877975,16692257,6676263,21479004459,14847,5718352,2473075,386056371,4739,0.000777142955199011,0.000310827394851746,0.0148122202599268,0.00640599452767482,8.56254889313703,-4.21230274567091,-5.05052108204549,-7.15988624099441,-8.07627280033151,2.9475834953235
Philadelphia,7.45404829860514,1,8,310005,Philadelphia PA USA,6160,1.16824567317963,0.136379241943359,0.175507262349129,1380,0.241474598646164,0.307469815015793,0.338982939720154,0.390129208564758,5099152,2102092,11921944534,4305,466462,205313,114291694,453,0.000427711434611846,0.000176321236355787,0.00408132895466577,0.00179639475813527,7.22983877815125,-5.50133261941989,-6.32197353473799,-7.7570618079664,-8.64320302002461,2.25572918854651
Phoenix,8.94809931362323,3,26,435628,Phoenix AZ USA,6200,0.618014514446259,0.11000370234251,0.0908599197864532,696,0.467757046222687,0.492623507976532,0.563964128494263,0.583582401275635,3668684,1514625,37727619480,2704,150846,69997,97166161,115,9.724133275742e-05,4.01463177607304e-05,0.00155245404827716,0.000720384537987459,6.54534966033442,-6.46791834312792,-7.23572540798629,-9.23831470275446,-10.1229798338388,2.77039635962654
Seattle,8.70643504506874,2,12,161614,Seattle WA USA,7600,1.04392397403717,0.109364785254002,0.222979784011841,716,0.176689669489861,0.231069549918175,0.258086144924164,0.300801038742065,2622207,1060735,15202855929,2481,422514,184666,264746724,446,0.000172481210914986,6.97720878862378e-05,0.00159591776478413,0.00069751949036393,6.57368016696065,-6.4403063071065,-7.26798010148506,-8.66522224965728,-9.57027651518873,2.22491594255078
Washington,8.26308179415934,1,4,55569,Washington DC USA,8840,0.711616277694702,0.115136981010437,0.135397493839264,1740,0.30004608631134,0.381890952587128,0.377545446157455,0.435577750205994,4845921,1807269,15965250214,3564,400485,183245,169796944,414,0.000303529286108563,0.000113200167599954,0.0023586113540418,0.00107920081294278,7.46164039220858,-6.04968224242963,-6.83153449978823,-8.10003245752838,-9.08635291163132,2.05035021509875
