model,n,r2,term,estimate,std.error,p.value,stars
pop_density_bivar,593,0.174137746707939,(Intercept),-6.07050002695347,0.0612671893842677,0,***
pop_density_bivar,593,0.174137746707939,gamma01a_units_IV,-1.70927002451273,0.153117307689176,2.17926574383358e-26,***
pop_density_controls,590,0.473725728539858,(Intercept),-2.55608945857009,0.840980227418047,0.00247662853872665,***
pop_density_controls,590,0.473725728539858,gamma01a_units_IV,-2.18937301808881,0.131731555516308,4.61637346218543e-51,***
pop_density_controls,590,0.473725728539858,pctdis,-3.05169164444691,0.175486982499711,7.09617613384795e-55,***
pop_density_controls,590,0.473725728539858,log_inc,-0.168365995908875,0.0817730638126184,0.0399434511244809,**
pop_density_controls,590,0.473725728539858,p_white,-0.759360786927167,0.31670069792535,0.0168108193316325,**
pop_density_controls,590,0.473725728539858,p_black,-0.814859327711039,0.315979089772628,0.0101572728638318,**
pop_density_controls,590,0.473725728539858,p_asian,-1.18536352855098,0.509443768986132,0.02031867308844,**
pop_density_near05_interaction,590,0.48794283448043,(Intercept),-2.16892986640338,0.836542029403901,0.00976140562857075,***
pop_density_near05_interaction,590,0.48794283448043,gamma01a_units_IV,-2.29518575736727,0.132881145270463,2.94311170951432e-54,***
pop_density_near05_interaction,590,0.48794283448043,near_dart_05mi,-0.922781005381101,0.230746819066264,7.1787069364338e-05,***
pop_density_near05_interaction,590,0.48794283448043,pctdis,-3.16245432782741,0.176192675128587,1.21779830406632e-57,***
pop_density_near05_interaction,590,0.48794283448043,log_inc,-0.196524511244427,0.0811053096187738,0.0156941735106351,**
pop_density_near05_interaction,590,0.48794283448043,p_white,-0.732952357326819,0.313267229196169,0.0196367793297126,**
pop_density_near05_interaction,590,0.48794283448043,p_black,-0.869398405291412,0.313190492958734,0.00568158421191481,***
pop_density_near05_interaction,590,0.48794283448043,p_asian,-1.24725883337145,0.503692998673758,0.0135616052067265,**
pop_density_near05_interaction,590,0.48794283448043,gamma01a_units_IV:near_dart_05mi,1.74681079630776,0.786446297271275,0.0267259019942218,**
unit_density_near05_interaction,590,0.512456900766712,(Intercept),-4.34151829928299,0.830828838995295,2.42464942357607e-07,***
unit_density_near05_interaction,590,0.512456900766712,gamma01a_units_IV,-2.54940329865891,0.131973629260557,1.36366236716761e-64,***
unit_density_near05_interaction,590,0.512456900766712,near_dart_05mi,-0.841390596408108,0.229170926323081,0.000263411281468564,***
