model,n,r2,term,estimate,std.error,p.value,stars
station_pop_density_bivar,11,0.00121915146252349,(Intercept),-7.97286723975572,11.7713937132828,0.515241199825913,""
station_pop_density_bivar,11,0.00121915146252349,log_mla_metro,0.141069760894892,1.34591907018543,0.918822945295063,""
station_unit_density_bivar,11,0.00265724285286163,(Intercept),-9.24928318635355,11.3720075773744,0.437011730795322,""
station_unit_density_bivar,11,0.00265724285286163,log_mla_metro,0.201345932627528,1.30025400878491,0.880355729445203,""
station_density_ratio_bivar,11,0.00242344211282556,(Intercept),0.0203235877924096,11.2351383537587,0.998596144255667,""
station_density_ratio_bivar,11,0.00242344211282556,log_mla_metro,0.189947660227006,1.28460463856819,0.885709280056807,""
station_pop_density_controls,11,0.409887268446025,(Intercept),-8.57578702370205,11.6083025707341,0.484079349272612,""
station_pop_density_controls,11,0.409887268446025,log_mla_metro,-0.410893402154746,1.20728077136241,0.743581138755741,""
station_pop_density_controls,11,0.409887268446025,log_numtracts,1.14148938476376,0.73211639322144,0.162920634106391,""
station_pop_density_controls,11,0.409887268446025,FracUnavail,-16.3570794898366,9.1621975852628,0.117385416992005,""
station_density_ratio_controls,11,0.31367792455995,(Intercept),4.4595812788672,11.9557750762423,0.720182258601573,""
station_density_ratio_controls,11,0.31367792455995,log_mla_metro,-0.333673452405064,1.24341842989784,0.796164904040224,""
station_density_ratio_controls,11,0.31367792455995,log_numtracts,0.364489078244362,0.754030907934178,0.643573934431525,""
station_density_ratio_controls,11,0.31367792455995,FracUnavail,-16.7058828819916,9.4364505806093,0.119973842996014,""
station_pop_density_bivar_ge10cbg,9,0.00980157663428228,(Intercept),-6.97112255226543,4.15796300628555,0.137529686289383,""
station_pop_density_bivar_ge10cbg,9,0.00980157663428228,log_mla_metro,0.125804390529864,0.477925192144497,0.799953041828143,""
station_density_ratio_bivar_ge10cbg,9,0.102438662267262,(Intercept),-0.162593523831539,3.04207556874667,0.95886816435864,""
station_density_ratio_bivar_ge10cbg,9,0.102438662267262,log_mla_metro,0.312534669908936,0.349662695053686,0.401104310979395,""
station_pop_density_controls_ge10cbg,9,0.670336505723681,(Intercept),-11.7158805674392,3.21144166190591,0.0147765587855604,**
station_pop_density_controls_ge10cbg,9,0.670336505723681,log_mla_metro,0.184323935406346,0.326833245317081,0.597131412265854,""
station_pop_density_controls_ge10cbg,9,0.670336505723681,log_numtracts,0.664286192266712,0.232157881145243,0.0353503404808904,**
station_pop_density_controls_ge10cbg,9,0.670336505723681,FracUnavail,-1.90139297034078,4.16824786571024,0.667403359849471,""
