cbdname,log_mla_metro,n_munis,n_districts
Boston,9.565332857407084,34,90
Bridgeport,9.643877157078817,1,8
Cincinnati,8.515813647936001,1,5
Detroit,9.363866268195656,1,6
El Paso,8.636404027136312,1,7
Fargo,8.710451979282798,1,3
Hartford,9.19697832167068,1,5
Jacksonville,8.75310502315756,1,11
Manchester,9.181642756195426,1,7
Milwaukee,8.498952475937937,1,6
Minneapolis,9.104979856318357,1,1
Montgomery,9.079136725831692,1,16
New York,8.960288236945,1,5
Philadelphia,7.454048298605139,1,8
Phoenix,8.948099313623226,3,26
Raleigh,9.433706097134776,1,4
Seattle,8.70643504506874,2,12
Tulsa,8.901868017953255,1,4
Washington,8.263081794159342,1,4
